word,count
_guano_,2
bed,,4
table,,1
chair,,1
place,7
dirt,1
floor,2
cook,1
charcoal.,1
walls,3
flattened,,2
overlapping,1
leaves,1
sturdy,1
fibered,1
picture,2
sacred,1
heart,4
jesus,1
virgin,1
cobre.,1
relics,1
wife.,2
once,16
tinted,1
photograph,1
wife,1
lonely,1
shelf,1
corner,3
clean,6
shirt.,2
"what,9
eat?",2
"a,3
pot,2
yellow,12
rice,3
some?",1
eat,37
home.,6
fire?",1
later,4
on.,4
cold.",1
net?",1
"of,2
course.",1
remembered,2
sold,2
fiction,2
day.,5
too.,5
"eighty-five,1
number,",1
bring,18
dressed,2
thousand,3
pounds?",1
sardines.,4
sit,3
doorway?",1
"yes.,1
yesterday's,2
paper,3
read,2
baseball.",3
whether,2
bed.,4
"perico,1
gave,6
_bodega_,",1
explained.,1
i'll,13
keep,23
yours,1
share,1
morning.,7
"the,8
yankees,4
lose.",1
fear,6
indians,2
cleveland.",2
"have,1
faith,1
son.,1
great,64
dimaggio.",1
both,14
tigers,1
detroit,1
"be,3
careful,3
even,22
reds,1
cincinnati,1
white,12
sox,1
chicago.",1
study,1
back.",2
"do,4
should,19
buy,5
terminal,1
lottery,1
eighty-five?,1
tomorrow,2
eighty-fifth,1
day.",1
"we,2
that,",3
record?",1
happen,3
twice.,1
find,5
eighty-five?",1
order,3
one.",1
"one,2
sheet.,1
that's,1
dollars,2
half.,1
borrow,3
from?",1
"that's,2
easy.,2
half.",1
perhaps,17
borrow.,2
beg.",1
"keep,3
warm,2
man,",11
"remember,1
september.",1
month,1
come,",2
"anyone,1
fisherman,5
may.",1
sardines,",1
asleep,8
chair,3
down.,6
army,1
blanket,4
bed,8
spread,10
shoulders.,4
shoulders,,2
powerful,1
although,11
old,,1
neck,3
creases,1
so,77
head,49
fallen,1
forward.,2
shirt,2
times,9
patches,3
faded,1
shades,1
sun.,5
closed,7
life,5
face.,3
newspaper,4
lay,12
knees,3
weight,15
arm,9
held,25
evening,4
breeze.,2
barefooted.,1
asleep.,2
"wake,1
hand,63
knees.,1
opened,4
moment,7
coming,14
way,19
away.,5
smiled.,1
got?",1
"supper,",1
boy.,6
"we're,2
supper.",1
"i'm,4
hungry.",1
"come,6
eat.,2
can't,5
eat.",3
have,",1
getting,7
folding,1
started,21
fold,1
blanket.,2
"you'll,1
eating,8
while,16
i'm,7
alive.",1
time,37
care,4
yourself,",1
eating?",1
"black,1
beans,1
rice,,1
fried,1
bananas,,1
stew.",1
two-decker,1
metal,1
container,2
sets,3
knives,1
forks,1
spoons,1
pocket,2
napkin,1
set.,1
"who,2
"martin.,1
owner.",1
thank,4
thanked,1
already,",1
don't,12
need,6
give,8
belly,4
meat,12
fish,",12
"has,1
done,6
more,49
once?",1
so.",1
then.,2
thoughtful,1
us.",1
sent,3
beers.",1
cans,3
best.",1
know.,7
bottles,,1
hatuey,1
beer,,1
bottles.",1
kind,4
"should,2
"i've,1
asking,2
to,",1
gently.,3
wished,2
until,21
ready.",1
ready,2
now,",3
needed,3
wash.",1
wash?,1
thought.,128
village,2
water,74
supply,1
streets,1
road.,4
here,8
thought,,20
soap,1
towel.,1
why,7
thoughtless?,1
jacket,1
winter,1
sort,3
shoes,1
"your,1
stew,1
excellent,",1
"tell,4
baseball,",1
asked,10
"in,2
american,1
league,1
said,",1
happily.,1
"they,8
lost,5
today,",1
"that,1
means,4
nothing.,7
dimaggio,6
himself,25
again.",3
team.",1
"naturally.,1
makes,6
difference.,1
league,,1
between,8
brooklyn,1
philadelphia,1
brooklyn.,1
dick,1
sisler,1
drives,1
park.",1
"there,6
nothing,21
ever,9
them.,23
hits,1
longest,1
ball,1
seen.",1
terrace?,1
wanted,4
fishing,3
timid,1
ask,2
timid.",1
mistake.,1
might,13
us.,2
our,15
lives.",1
fishing,",1
say,11
father,6
fisherman.,3
maybe,18
poor,2
understand.",1
sisler's,1
he,,1
father,,1
playing,2
leagues,2
age.",1
"when,1
age,1
square,1
rigged,2
ship,2
africa,5
seen,12
lions,7
beaches,3
evening.",1
talk,8
baseball?",1
"baseball,1
think,",2
john,1
j.,2
mcgraw.",1
_jota_,1
sometimes,13
days.,1
rough,2
harsh-spoken,1
difficult,5
drinking.,1
mind,1
horses,3
least,2
lists,1
frequently,1
names,2
telephone.",1
manager,",1
"my,2
thinks,1
greatest.",1
"because,2
most,5
times,",1
durocher,1
continued,2
year,1
greatest,3
manager.",1
manager,,1
really,,1
luque,1
mike,1
gonzalez?",1
equal.",1
"and,8
best,3
you.",5
others,5
better.",1
"_qué,2
va_,",2
ones.,4
you.,3
happy.,3
prove,2
wrong.",2
say.",1
tricks,1
resolution.",1
ought,1
things,9
terrace.",1
"good,3
night,20
wake,6
morning.",1
alarm,2
clock,",2
"age,1
early?,1
longer,5
day?",1
"all,1
young,3
boys,1
sleep,12
late,6
hard.",1
it,",7
waken,2
time.",1
me.,6
inferior.",1
know.",1
"sleep,1
well,,5
out.,7
eaten,4
light,18
table,2
trousers,6
dark.,7
rolled,5
pillow,,1
putting,3
inside,8
slept,6
newspapers,2
covered,5
springs,1
short,4
dreamed,6
golden,2
beaches,,1
hurt,14
eyes,,2
high,16
capes,1
mountains.,1
lived,2
dreams,1
heard,10
surf,1
roar,1
saw,46
native,1
boats,7
riding,1
smelled,4
tar,1
oakum,1
deck,1
land,8
usually,3
woke,3
tonight,2
early,8
dream,7
dreaming,2
peaks,1
islands,1
rising,4
harbours,1
roadsteads,1
canary,1
islands.,1
storms,,1
nor,21
women,,1
occurrences,,1
fish,,16
fights,,1
contests,1
strength,,3
places,1
beach.,1
played,2
cats,1
dusk,1
simply,2
woke,,1
door,5
moon,9
unrolled,1
urinated,2
shivering,5
morning,6
cold.,1
soon,10
rowing.,1
unlocked,1
quietly,3
bare,2
feet.,3
cot,1
clearly,3
dying,1
moon.,2
hold,12
foot,6
gently,6
turned,15
nodded,1
sitting,3
pulled,17
sleepy,1
shoulders,14
said,,10
sorry.",1
do.",2
road,,2
dark,,3
barefoot,1
moving,,1
carrying,2
masts,1
boats.,2
reached,10
rolls,1
line,120
basket,2
shoulder.,3
coffee?",1
"we'll,1
some.",1
coffee,5
condensed,1
milk,2
served,1
fishermen.,1
man?",1
waking,1
hard,14
sleep.,4
"very,2
manolin,",2
feel,21
today.",1
i,",1
"now,7
baits.,1
himself.,11
wants,1
anyone,4
anything.",1
different,",1
let,36
five,2
old.",1
right,31
back.,5
coffee.,3
credit,1
here.",1
off,,1
bare-footed,1
coral,2
rocks,,1
stored.,1
drank,4
slowly.,4
bored,1
lunch.,1
bottle,4
trail,5
skiff,,4
pebbled,1
sand,2
feet,,1
lifted,7
slid,6
her,24
water.,23
luck,9
